language,title,QID,p21,gender,p106,occupation,pw first sentence
es,Deborah Ahenkorah,Q19473678,Q6581072,female,,,"Deborah Ahenkorah (Accra, Ghana, 21 de abril de 1987)[1]​[2]​ es una activista y educadora ghanesa, cofundadora y directora ejecutiva de Golden Baobab,[3]​ una empresa de carácter social que tiene como fin promover la literatura africana para niños"
es,Fatimata Dia Sow,Q19509066,Q6581072,female,,,"Fatimata Dia Sow (Senegal, 1967) es desde febrero de 2014 Comisaria de Asuntos Sociales y de Género de la CEDEAO donde sucedió a Adrienne Diop"
es,Flavia Gandolfo,Q19632264,Q6581072,female,,,"Flavia Gandolfo (Lima, 1967) es una fotógrafa peruana"
es,Mariam Dao Gabala,Q19508683,Q6581072,female,,,Jacqueline Mariam Dao-Gabala (1960) es una emprenderora económica y activista marfileña por los derechos de las mujeres y líder de la ONG Oikocredit en Costa de Marfil
es,Nagwa Gamal Mehrez,Q19509039,Q6581072,female,,,Nagwa Gamal Mehrez es una destacada hispanista de Egipto
es,Rudo Chigudu,Q19509098,Q6581072,female,,,"Rudo Chigudu es una activista feminista de Zimbabue e integrante de Sistahood Katswe,[1]​ organización de mujeres jóvenes que trabaja en la desmitificación de cuestiones relacionadas con la sexualidad"
en,Alina Payne,Q28861611,Q6581072,female,,,Alina Payne is Alexander P
en,Alix Pearlstein,Q19592455,Q6581072,female,,,"Alix Pearlstein (born 1962) is an American visual artist, who is particularly well known for her work in video art and performance art"
en,Allana Beltran,Q19609706,Q6581072,female,,,Allana Beltran is an Australian performance artist and environmental activist
en,Anne Marie Schleiner,Q19864383,Q6581072,female,,,"Anne-Marie Schleiner (born 1970) is a theorist, an educator, a new media and performance artist, a hacktivist, a scholar, a gamer, and a curator"
en,Caroline Woolard,Q19668748,Q6581072,female,,,Caroline Woolard (born 1984 - )  is an artist and organizer whose work explores intersections between art and the solidarity economy
en,Chang-Jin Lee,Q19665451,Q6581072,female,,,Chang-Jin Lee is a Korean-American visual artist who lives in New York City
en,Charlotte Cotton,Q19879181,Q6581072,female,,,Charlotte Cotton (born 1970) is an independent curator of and writer about photography
en,Dana Inkster,Q19560817,Q6581072,female,,,Dana Inkster is an Alberta-based Canadian media artist and filmmaker
en,Deborah Stratman,Q19868218,Q6581072,female,,,Deborah Stratman (born 1967) is a Chicago-based artist and filmmaker who explores landscapes and systems
en,Diana Kleiner,Q28861617,Q6581072,female,,,Diana Kleiner is Dunham Professor in the History of Art and Professor of Classics at Yale University
en,Diane Borsato,Q19560126,Q6581072,female,,,"Diane Borsato is a Canadian visual artist whose work explores pedagogical practices and experiential ways of knowing through performance, intervention, video, installation, and photography"
en,Edith Clayton,Q28870751,Q6581072,female,,,"Edith Clayton (September 6, 1920 – October 8, 1989) was a Canadian basket maker"
en,Edna Taçon,Q20006933,Q6581072,female,,,"Edna Jeanette Taçon (born Milwaukee, Wisconsin in 1905, died New York, New York in 1980) was a Canadian painter best known for her connection to the non-objective art movement and as a later member of the Canadian Group of Painters"
en,Elizabeth Anne McCauley,Q28861618,Q6581072,female,,,Elizabeth Anne McCauley is David Hunter McAlpin Professor of the History of Photography and Modern Art at Princeton University
en,Ellen Francis Mason,Q19667664,Q6581072,female,,,"Ellen Francis Mason (June 24, 1846 – 1930) was a New England author, civic leader, trustee, and philanthropist"
en,Erika Wanenmacher,Q19667758,Q6581072,female,,,"Erika Wanenmacher (born 1955) is a sculptor and installation artist from Santa Fe, New Mexico, a self-described ""maker of things"
en,Eva Aschoff,Q19661535,Q6581072,female,,,Eva Aschoff (26 April 1900 – 20 September 1969) was a German visual artist known for her bookbinding and calligraphy
en,Eva Simone Hayward,Q19666961,Q6581072,female,,,Eva Simone Hayward is a writer and a transdisciplinary faculty member of the Department of Gender and Women Studies at the University of Arizona
en,Ewa Tarsia,Q19661372,Q6581072,female,,,Ewa Tarsia is a Polish-Canadian digital artist
en,Gail Anderson (graphic designer),Q19609581,Q6581072,female,,,"Gail Anderson (born 1962) is an American graphic designer, writer, and educator"
en,Ginger Brooks Takahashi,Q19480049,Q6581072,female,,,"Ginger Brooks Takahashi (born July 26, 1977) is an American artist based in Brooklyn, New York, and North Braddock, Pennsylvania"
en,Hannah Johnson Carter,Q28870901,Q6581072,female,,,Hannah Johnson Carter was a 19th-century American art educator from the U
en,Harriet Bart,Q19609685,Q6581072,female,,,"Harriet Bart is a Minneapolis based conceptual artist, known for her objects, installations, and artists books"
en,Harriet Thayer Durgin,Q28859848,Q6581072,female,,,Harriet Thayer Durgin (1848 - ?) was a pioneering 19th-century American artist from the U
en,Ioli Kalavrezou,Q28861605,Q6581072,female,,,Ioli Kalavrezou is Dumbarton Oaks Professor of Byzantine Art at Harvard University
en,Isabella Mary Abbott,Q28883412,Q6581072,female,,,"Isabella Mary Abbott Plummer (December 23, 1890 – November 26, 1955) was a Canadian artist"
en,Jae Rhim Lee,Q19663314,Q6581072,female,,,"Jae Rhim Lee (born 1975 in Gwangju, South Korea) is an artist and TED Fellow working at the intersection of art, science and culture"
en,Janet Payne Bowles,Q19974755,Q6581072,female,,,Janet Payne Bowles (c
en,Janice Wright-Cheney,Q19666245,Q6581072,female,,,"Janice Wright-Cheney is a Canadian textile artist based in Fredericton, New Brunswick"
en,Jennie C. Jones,Q19879344,Q6581072,female,,,Jennie C
en,Julia Severance,Q19667753,Q6581072,female,,,Julia Severance (1877-1972) was an artist mainly known for her contributions in transforming the College Seal for Oberlin College
en,Karen Redrobe,Q28869026,Q6581072,female,,,Karen Redrobe (also known as Karen Beckman) is Elliot and Roslyn Jaffe Endowed Professor in Film Studies and chair of the department of the History of Art at the University of Pennsylvania
