language,title,QID,p21,gender,p106,occupation,pw first sentence
en,Alix Pearlstein,Q19592455,Q6581072,female,,visual artist,"Alix Pearlstein (born 1962) is an American visual artist, who is particularly well known for her work in video art and performance art"
en,Chang-Jin Lee,Q19665451,Q6581072,female,,visual artist,Chang-Jin Lee is a Korean-American visual artist who lives in New York City
en,Diane Borsato,Q19560126,Q6581072,female,,visual artist,"Diane Borsato is a Canadian visual artist whose work explores pedagogical practices and experiential ways of knowing through performance, intervention, video, installation, and photography"
en,Edna Taçon,Q20006933,Q6581072,female,,painter,"Edna Jeanette Taçon (born Milwaukee, Wisconsin in 1905, died New York, New York in 1980) was a Canadian painter best known for her connection to the non-objective art movement and as a later member of the Canadian Group of Painters"
en,Erika Wanenmacher,Q19667758,Q6581072,female,,sculptor,"Erika Wanenmacher (born 1955) is a sculptor and installation artist from Santa Fe, New Mexico, a self-described ""maker of things"
en,Erika Wanenmacher,Q19667758,Q6581072,female,,installation artist,"Erika Wanenmacher (born 1955) is a sculptor and installation artist from Santa Fe, New Mexico, a self-described ""maker of things"
en,Eva Aschoff,Q19661535,Q6581072,female,,visual artist,Eva Aschoff (26 April 1900 – 20 September 1969) was a German visual artist known for her bookbinding and calligraphy
en,Ewa Tarsia,Q19661372,Q6581072,female,,digital artist,Ewa Tarsia is a Polish-Canadian digital artist
en,Janice Wright-Cheney,Q19666245,Q6581072,female,,textile artist,"Janice Wright-Cheney is a Canadian textile artist based in Fredericton, New Brunswick"
en,Lili Réthi,Q28801936,Q6581072,female,,illustrator,"Lili Réthi (November 19, 1894 – 1969) was an artist and illustrator"
en,Lois Andison,Q19666677,Q6581072,female,,installation artist,"Lois Andison is an installation artist whose mixed materials installations explore intersections of technology, geography and the body"
en,Louise Odes Neaderland,Q19519635,Q6581072,female,,photographer,"Louise Odes Neaderland (born August 23, 1932) is an American photographer, printmaker, book artist and founder of the International Society of Copier Artists (I"
en,Louise Odes Neaderland,Q19519635,Q6581072,female,,printmaker,"Louise Odes Neaderland (born August 23, 1932) is an American photographer, printmaker, book artist and founder of the International Society of Copier Artists (I"
